x_values,counts_mRNA,Region
0.5108396739175453,0.1264793237377199,5' UTR
1.5067955490838252,0.10952707333790267,5' UTR
2.5027514242501048,0.1094356865432945,5' UTR
3.498707299416385,0.09613890792780443,5' UTR
4.494663174582665,0.09330591729495089,5' UTR
5.490619049748945,0.07909527073337903,5' UTR
6.486574924915225,0.07237834132967787,5' UTR
7.482530800081505,0.062005940141649535,5' UTR
8.478486675247785,0.055380397532556545,5' UTR
9.474442550414064,0.053598355037697054,5' UTR
10.470398425580346,0.04359150102810144,5' UTR
11.466354300746625,0.03943340187342929,CDS
12.462310175912904,0.03321909984007311,CDS
13.458266051079185,0.032853552661640396,CDS
14.454221926245465,0.02691341101210875,CDS
15.450177801411746,0.02467443454420836,CDS
16.44613367657802,0.021064656157185287,CDS
17.442089551744306,0.019191226867717615,CDS
18.438045426910584,0.019374000456933972,CDS
19.434001302076865,0.016860863605209046,CDS
20.429957177243146,0.016266849440255884,CDS
21.425913052409424,0.013799405985835046,CDS
22.421868927575705,0.01242860406671236,CDS
23.417824802741983,0.011697509709846928,CDS
24.413780677908264,0.010235320996116062,CDS
25.409736553074545,0.011651816312542838,CDS
26.405692428240823,0.00927575965273018,CDS
27.40164830340711,0.008727438885081106,CDS
28.39760417857339,0.007448023760566598,CDS
29.393560053739666,0.006122915238748001,CDS
30.389515928905947,0.006808316198309345,CDS
31.38547180407223,0.006122915238748001,CDS
32.381427679238506,0.006442769019876628,CDS
33.37738355440479,0.005437514279186657,CDS
34.37333942957107,0.005894448252227553,CDS
35.36929530473735,0.004432259538496687,CDS
36.36525117990362,0.005391820881882568,CDS
37.36120705506991,0.005391820881882568,CDS
38.357162930236186,0.005848754854923464,CDS
39.35311880540247,0.00411240575736806,CDS
40.34907468056875,0.004477952935800777,CDS
41.34503055573503,0.003838245373543523,CDS
42.3409864309013,0.003838245373543523,CDS
43.33694230606759,0.003518391592414896,CDS
44.33289818123387,0.0038839387708476127,CDS
45.32885405640015,0.0037468585789353437,CDS
46.32480993156642,0.004386566141192597,CDS
47.32076580673271,0.0033813114005026273,CDS
48.31672168189899,0.003427004797806717,CDS
49.312677557065264,0.0028786840301576423,CDS
50.308633432231545,0.004021018962759881,CDS
51.30458930739782,0.0031528444139821794,CDS
52.30054518256411,0.003198537811286269,CDS
53.29650105773038,0.0032899246058944484,CDS
54.29245693289666,0.002787297235549463,CDS
55.28841280806294,0.003427004797806717,CDS
56.284368683229225,0.002787297235549463,CDS
57.2803245583955,0.002787297235549463,CDS
58.27628043356179,0.002787297235549463,CDS
59.27223630872807,0.002376056659812657,CDS
60.26819218389434,0.002787297235549463,CDS
61.264148059060616,0.003427004797806717,CDS
62.2601039342269,0.0026045236463331047,CDS
63.256059809393186,0.002513136851724926,CDS
64.25201568455947,0.001964816084075851,CDS
65.24797155972576,0.0024217500571167465,CDS
66.24392743489203,0.00205620287868403,CDS
67.2398833100583,0.0018277358921635824,CDS
68.23583918522458,0.0021932830705962986,CDS
69.23179506039085,0.002513136851724926,CDS
70.22775093555714,0.0020105094813799404,CDS
71.22370681072341,0.0022389764679003883,CDS
72.2196626858897,0.001233721727210418,CDS
73.21561856105599,0.001553575508339045,CDS
74.21157443622226,0.001964816084075851,CDS
75.20753031138854,0.001462188713730866,CDS
76.20348618655483,0.0017820424948594928,CDS
77.1994420617211,0.0015992689056431345,CDS
78.19539793688737,0.0021932830705962986,CDS
79.19135381205366,0.0015078821110349554,CDS
80.18730968721994,0.0020105094813799404,CDS
81.18326556238623,0.0018277358921635824,CDS
82.1792214375525,0.0015078821110349554,CDS
83.17517731271879,0.0015078821110349554,3' UTR
84.17113318788506,0.0016449623029472242,3' UTR
85.16708906305135,0.0012794151245145078,3' UTR
86.16304493821762,0.0015078821110349554,3' UTR
87.1590008133839,0.0021932830705962986,3' UTR
88.15495668855019,0.0012794151245145078,3' UTR
89.15091256371646,0.0013251085218185972,3' UTR
90.14686843888275,0.001233721727210418,3' UTR
91.14282431404902,0.0015992689056431345,3' UTR
92.13878018921531,0.0005940141649531642,3' UTR
93.13473606438158,0.0010966415352981493,3' UTR
94.13069193954786,0.000731094356865433,3' UTR
95.12664781471413,0.0011880283299063284,3' UTR
96.12260368988042,0.0002284669865204478,3' UTR
97.11855956504671,0.00027416038382453733,3' UTR
98.11451544021298,0.00031985378112862694,3' UTR
99.11047131537926,0.0002284669865204478,3' UTR
